ID,Inc,Hisp,Ideo,Age,HD1,HD2,HD3,HD4,HR1,HR2,HR3,HR4,PID7,PID3_p,WHITE,HDans,HRans,Gender,GenR,GenD,dkR,dkD
R_4GcYtZdzRvC0uIl,$25K to $50K,Not Hispanic,Liberal,62,wholesome,good,liberal,smart,stupid,obnoxious,conservative,lazy,Strong D,Democrat,Non-white,4,4,Female,stupid|obnoxious|conservative|lazy,wholesome|good|liberal|smart,0,0
R_6zKAMTOU4UjjRJz,$75K to $100K,Not Hispanic,Slightly liberal,66,middleclass,multiethnic,liberal,americans,white,angry,conservative,old,Strong D,Democrat,White,4,4,Male,white|angry|conservative|old,middleclass|multiethnic|liberal|americans,0,0
R_eJRNunRNTZFbUUJ,$100K to $150K,Not Hispanic,Liberal,45,empathic,middle class,logical,civic,judgmental,rich,conservative,non compromising,Lean D,Democrat,White,4,4,Female,judgmental|rich|conservative|non compromising,empathic|middle class|logical|civic,0,0
R_3qsKnRwLTdVMJ8x,$75K to $100K,Not Hispanic,Conservative,38,liberal,free thinking,laissez faire,whatever,right wing,christian,conservative,middle class,Weak R,Republicans,White,4,4,Female,right wing|christian|conservative|middle class,liberal|free thinking|laissez faire|whatever,0,0
R_bCWebrOAXnePc0t,$25K to $50K,Not Hispanic,Slightly conservative,23,liberal,left wing,stuffy,eastern,conservative,religious,western,followers,Weak R,Republicans,White,4,4,Female,conservative|religious|western|followers,liberal|left wing|stuffy|eastern,0,0
R_eA12zyXNg9CmEQJ,Prefer not to answer,Not Hispanic,Conservative,44,idiots,,,,strong,,,,Weak R,Republicans,White,1,1,Male,strong|||,idiots|||,1,1
R_4Np1iSY9TY3Tqsd,$50K to $75K,Not Hispanic,Conservative,56,honest,smart,winners,honorable,liars,stupid,dumb,losers,Strong D,Democrat,White,4,4,Female,liars|stupid|dumb|losers,honest|smart|winners|honorable,0,0
R_8ByV117AITZCKNv,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,43,liberal,poor,union,black,white,rich,bigots,employed,Ind,Independent (excludes leaners),White,4,4,Male,white|rich|bigots|employed,liberal|poor|union|black,0,0
R_9GOyudCq5NGbqHX,$250K to $500K,Not Hispanic,Slightly conservative,36,liberal,elitist,welfare,taxes,conservative,smart,wealthy,educated,Weak R,Republicans,White,4,4,Female,conservative|smart|wealthy|educated,liberal|elitist|welfare|taxes,0,0
R_1ZwdMlDaxClW2Lb,$75K to $100K,Not Hispanic,Conservative,61,liberals,movie stars,disabled individuals,doctors,conservatives,tea party members,believers in god,fair minded,Strong R,Republicans,White,4,4,Female,conservatives|tea party members|believers in god|fair minded,liberals|movie stars|disabled individuals|doctors,0,0
R_d5LtjF2mEgLwIIJ,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,55,inclusive,open,liberal,empathetic,conservative,discriminatory,exclusive,,Strong D,Democrat,White,4,3,Female,conservative|discriminatory|exclusive|,inclusive|open|liberal|empathetic,0,0
R_5ATbRbQueHlUoTj,$100K to $150K,Not Hispanic,Slightly conservative,45,liberals,young,minorities,underprivileged,old,conservative,rich,white males,Weak R,Republicans,White,4,4,Female,old|conservative|rich|white males,liberals|young|minorities|underprivileged,0,0
R_em7GaP9Qh9Kq9JX,$200K to $250K,Not Hispanic,Conservative,47,entitlements,taxes,free spending,giveaway,business,fiscal,responsible,wealthier,Strong R,Republicans,White,4,4,Male,business|fiscal|responsible|wealthier,entitlements|taxes|free spending|giveaway,0,0
R_8hV7PNohvUFzMkB,$50K to $75K,Not Hispanic,Liberal,24,loud,free,normal,diverse,crazy,rich,conservative,white,Strong D,Democrat,White,4,4,Female,crazy|rich|conservative|white,loud|free|normal|diverse,0,0
R_0001qlHgysxS08B,$25K to $50K,Hispanic,Conservative,58,same,ambivalence,weaknesses,lies,strong,true,trust,reality,Weak R,Republicans,Non-white,4,4,Male,strong|true|trust|reality,same|ambivalence|weaknesses|lies,0,0
R_3EO246Qups9nDy5,Prefer not to answer,Not Hispanic,Moderate/Haven't thought about it,18,liberal,socialist,innovative,powerful,conservative,old fashioned,powerful,religious,Weak R,Republicans,White,4,4,Female,conservative|old fashioned|powerful|religious,liberal|socialist|innovative|powerful,0,0
R_5BAqmeXBAFz0TFr,$50K to $75K,Not Hispanic,Slightly conservative,46,liberal,lower class,minorities,dependent,conservative,religious,upper class,white,Lean R,Republicans,White,4,4,Female,conservative|religious|upper class|white,liberal|lower class|minorities|dependent,0,0
R_26lkiCAQhncb5HL,Prefer not to answer,Not Hispanic,Moderate/Haven't thought about it,41,morons,idiots,niggers,bitches,morons,idiots,pedos,whores,Ind,Independent (excludes leaners),Non-white,4,4,Male,morons|idiots|pedos|whores,morons|idiots|niggers|bitches,0,0
R_1TBEAnISxCnIov3,$75K to $100K,Not Hispanic,Slightly liberal,65,silly,liberal,foolish,modern,conservative,stupid,old,behind,Lean D,Democrat,White,4,4,Male,conservative|stupid|old|behind,silly|liberal|foolish|modern,0,0
R_4T3dZhBAXuCmUVn,$50K to $75K,Not Hispanic,Slightly conservative,35,young,arrogant,entitlement,mixed,white,old,religious,conservative,Lean R,Republicans,White,4,4,Male,white|old|religious|conservative,young|arrogant|entitlement|mixed,0,0
R_eEX9WRGPcBZZSo5,$75K to $100K,Hispanic,Slightly liberal,36,wealthy,understanding,change,good people,greedy,unhearted,hard headed,unfair,Lean D,Democrat,Non-white,4,4,Female,greedy|unhearted|hard headed|unfair,wealthy|understanding|change|good people,0,0
R_3VqMMGvRd8VBfRX,$100K to $150K,Not Hispanic,Slightly conservative,74,greedy,unrealistic,caring,uninformed,helpful,kind,friendly,intoit,Weak R,Republicans,White,4,4,Female,helpful|kind|friendly|intoit,greedy|unrealistic|caring|uninformed,0,0
R_cZ2iWGCnIbFO6SF,$50K to $75K,Hispanic,Extremely conservative,32,stupid,nonetheless,nonsense,bad,great,responding,responsibility,good,Strong R,Republicans,White,4,4,Female,great|responding|responsibility|good,stupid|nonetheless|nonsense|bad,0,0
R_egGqXS8su76SasR,$100K to $150K,Not Hispanic,Slightly liberal,28,lax,,,,law abiding,strict,eager,older,Lean R,Republicans,White,1,4,Female,law abiding|strict|eager|older,lax|||,0,1
R_292opYFTLFSGPyZ,$100K to $150K,Not Hispanic,Conservative,36,enabler,lazy,dependent,misguided,honest,working,fair,charitable,Strong R,Republicans,White,4,4,Female,honest|working|fair|charitable,enabler|lazy|dependent|misguided,0,0
R_3OARvSwx215331j,$50K to $75K,Not Hispanic,Liberal,22,female,ethnic,educated,working,loud,rich,old,guns,Weak D,Democrat,White,4,4,Female,loud|rich|old|guns,female|ethnic|educated|working,0,0
R_8B5ArZjGtWzEklv,$150K to $200K,Not Hispanic,Slightly conservative,67,liberal,young,close-minded,opinioned,conservative,patriotic,pro-business,older,Weak R,Republicans,White,4,4,Male,conservative|patriotic|pro-business|older,liberal|young|close-minded|opinioned,0,0
R_4Hi80zokVPTh9Dn,Less than $15K,Not Hispanic,Extremely Liberal,31,lively,caring,underpaid,considerate,selfish,ignorant,pushy,conservative,Strong D,Democrat,White,4,4,Male,selfish|ignorant|pushy|conservative,lively|caring|underpaid|considerate,0,0
R_8jGYU7rlppYrpmR,$150K to $200K,Not Hispanic,Moderate/Haven't thought about it,32,ok,,,,m,,,,Strong D,Democrat,White,1,1,Male,m|||,ok|||,1,1
R_cO9CWeqw4JznPAp,$100K to $150K,Not Hispanic,Conservative,47,unions,liberal,blue collar,anti business,conservative,white,educated,businesspeople,Strong R,Republicans,White,4,4,Female,conservative|white|educated|businesspeople,unions|liberal|blue collar|anti business,0,0
R_01EWHWXv51UWOdT,$50K to $75K,Not Hispanic,Moderate/Haven't thought about it,58,social,people,caring,big government,nasty,rich,elite,no government,Weak D,Democrat,White,4,4,Female,nasty|rich|elite|no government,social|people|caring|big government,0,0
R_aXcLeHAYuZ6GCZD,$50K to $75K,Not Hispanic,Extremely Liberal,48,well intentioned,moderate,hopeful,reasonable,ignorant,selfish,greedy,investors,Lean D,Democrat,White,4,4,Female,ignorant|selfish|greedy|investors,well intentioned|moderate|hopeful|reasonable,0,0
R_eyvoTaxrf4jogJv,$25K to $50K,Not Hispanic,Liberal,21,smart,caring,logical,sympathetic,ignorant,firm,outdated,money wise,Strong D,Democrat,White,4,4,Female,ignorant|firm|outdated|money wise,smart|caring|logical|sympathetic,0,0
R_bNOWtnFdyALUVk9,$50K to $75K,Not Hispanic,Slightly conservative,22,liberal,free,open,unproductive,strong,hardworking,independent,leaders,Weak R,Republicans,White,4,4,Male,strong|hardworking|independent|leaders,liberal|free|open|unproductive,0,0
R_bdOvd9zFZaxYHFH,Prefer not to answer,Not Hispanic,Conservative,57,liberal,communist,lazy,dishonest,conservative,working,honest,open-minded,Strong R,Republicans,White,4,4,Female,conservative|working|honest|open-minded,liberal|communist|lazy|dishonest,0,0
R_6zmREAgPQsqjQeV,$200K to $250K,Not Hispanic,Slightly conservative,71,liberal,unrealistic,spendthrifts,do gooders,conservative,foreign affairs minded,prudent,educated,Strong R,Republicans,White,4,4,Male,conservative|foreign affairs minded|prudent|educated,liberal|unrealistic|spendthrifts|do gooders,0,0
R_57lYkmMNb4j80MB,$75K to $100K,,Liberal,47,lkl,k..h../,,,jjkguk,kukk,,,Strong D,Democrat,White,2,2,Male,jjkguk|kukk||,lkl|k..h../||,0,0
R_d6Hmfl5umXGZEwZ,Prefer not to answer,Not Hispanic,Conservative,68,liberals,unions,low income,minorities,conservative,educated,business,having faith,Weak R,Republicans,White,4,4,Male,conservative|educated|business|having faith,liberals|unions|low income|minorities,0,0
R_0D0nt4MiPw7xjZX,$50K to $75K,Not Hispanic,Moderate/Haven't thought about it,29,progressive,pro-choice,liberal,urban,independent,may tend to be rural,traditional,conservative,Ind,Independent (excludes leaners),White,4,4,Male,independent|may tend to be rural|traditional|conservative,progressive|pro-choice|liberal|urban,0,0
R_1TZ6qUPG5RY0pI9,$100K to $150K,Not Hispanic,Liberal,49,liberal,working class,honest,hardworking,conservative,upper class,closed minded,old money,Strong D,Democrat,White,4,4,Female,conservative|upper class|closed minded|old money,liberal|working class|honest|hardworking,0,0
R_cZR4vwrjE6isMrH,$75K to $100K,Hispanic,Conservative,57,good,liberty,,,wild,workers,fanatics,aggressive,Lean D,Democrat,White,2,4,Male,wild|workers|fanatics|aggressive,good|liberty||,0,0
R_29KtbIk6c8uzbPD,$75K to $100K,Not Hispanic,Moderate/Haven't thought about it,28,opinionated,strong willed,outgoing,mouthy,outgoing,political,honest,strong willed,Weak R,Republicans,White,4,4,Female,outgoing|political|honest|strong willed,opinionated|strong willed|outgoing|mouthy,0,0
R_3Wq3mgpg8hNATnT,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,56,unions,liberal,,,conservative,white collar workers,,,Ind,Independent (excludes leaners),White,2,2,Female,conservative|white collar workers||,unions|liberal||,0,0
R_emqwdzYVyF2lhwp,$75K to $100K,,Liberal,35,casual,smart,freedom,people,snobby,dictating,selfish,rude,Strong D,Democrat,White,4,4,Male,snobby|dictating|selfish|rude,casual|smart|freedom|people,0,0
R_6gPWbO7MjRnJkoJ,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,21,liberal,educated,low income,pro-choice,pro-life,conservative,religious,ideological,Ind,Independent (excludes leaners),Non-white,4,4,Female,pro-life|conservative|religious|ideological,liberal|educated|low income|pro-choice,0,0
R_8umizGGWJmCbOcZ,$75K to $100K,Not Hispanic,Conservative,59,liberal,left wing,uninformed,greedy,concern,informed,right wing,involved,Strong R,Republicans,White,4,4,Female,concern|informed|right wing|involved,liberal|left wing|uninformed|greedy,0,0
R_0TwT5XNCGCV4EzH,Prefer not to answer,Not Hispanic,Conservative,,liberal,dishonest,anti faith,,moral,conservative,middle class,,Strong R,Republicans,White,3,3,Male,moral|conservative|middle class|,liberal|dishonest|anti faith|,0,0
R_bvJqMEUrF2nHUNv,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,39,liberal,young,non white,poor,conservative,rich,white,old,Ind,Independent (excludes leaners),White,4,4,Male,conservative|rich|white|old,liberal|young|non white|poor,0,0
R_egrEUKa2YrJV2fz,$200K to $250K,Not Hispanic,Slightly liberal,29,inclusive,caring,naive,hopeful,racist,rich,white,conservative,Lean D,Democrat,White,4,4,Female,racist|rich|white|conservative,inclusive|caring|naive|hopeful,0,0
R_5BmtsEsvRTDrIhL,$50K to $75K,Not Hispanic,Conservative,45,,,,,conservative,,,,Lean R,Republicans,White,0,1,Male,conservative|||,|||,1,1
R_0B2RBSWhHZRVUih,$75K to $100K,Not Hispanic,Moderate/Haven't thought about it,36,don't know,,,,strong,,,,Lean R,Republicans,Non-white,1,1,Male,strong|||,don't know|||,1,1
R_bxehKzSWM0yGwO9,$25K to $50K,Not Hispanic,Liberal,37,open-minded,caring,educated,liberal,closed minded,rigid,racist,conservative,Strong D,Democrat,White,4,4,Female,closed minded|rigid|racist|conservative,open-minded|caring|educated|liberal,0,0
R_0iUFltqWjqKZcnX,$75K to $100K,,Moderate/Haven't thought about it,45,liberal,smart,nice,compassionate,ignorant,mean,racist,rich,Strong D,Democrat,White,4,4,Male,ignorant|mean|racist|rich,liberal|smart|nice|compassionate,0,0
R_1TfuQsREj67rUgt,$25K to $50K,Not Hispanic,Slightly conservative,19,liberal,contemporary,pro-choice,progressive,conservative,pro-life,contemporary,moral clarity,Weak R,Republicans,White,4,4,Female,conservative|pro-life|contemporary|moral clarity,liberal|contemporary|pro-choice|progressive,0,0
R_9QNR2jIkWrdm44J,$75K to $100K,Not Hispanic,Conservative,67,liberal,urban,union,jewish,conservative,businessmen,wealthy,rural,Lean R,Republicans,White,4,4,Male,conservative|businessmen|wealthy|rural,liberal|urban|union|jewish,0,0
R_3eLQfpnADkCbdVH,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,21,not fair,,,,business,,,,Ind,Independent (excludes leaners),White,1,1,Female,business|||,not fair|||,1,1
R_bQ0HVMkeUEUjsxv,$150K to $200K,Not Hispanic,Extremely conservative,38,liberal,fiscally unconservative,duplicitous,liars,conservative,forthright,confident,fiscally conservative,Strong R,Republicans,White,4,4,Female,conservative|forthright|confident|fiscally conservative,liberal|fiscally unconservative|duplicitous|liars,0,0
R_2hKRPaO69MdwAIJ,$25K to $50K,Not Hispanic,Conservative,24,liberal,tree huggers,dishonest,liars,honest,conservative,intelligent,hardworking,Strong R,Republicans,White,4,4,Female,honest|conservative|intelligent|hardworking,liberal|tree huggers|dishonest|liars,0,0
R_8hNTRPHCPG54HcN,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,37,liberal,minorities,young,,conservatives,religious,white,,Lean R,Republicans,White,3,3,Female,conservatives|religious|white|,liberal|minorities|young|,0,0
R_81gENs6vVcw9mh7,$50K to $75K,,,,,,,,,,,,,,,,,Female,|||,|||,1,1
R_3fO3aaNfVN5O8gl,$25K to $50K,,,,,,,,,,,,Strong D,Democrat,Non-white,,,Female,|||,|||,1,1
R_aWA9kiKRwwfF8hf,$50K to $75K,Not Hispanic,Liberal,35,liberal,women,minorities,happy,conservative,angry,bigot,stupid,,Democrat,White,4,4,Female,conservative|angry|bigot|stupid,liberal|women|minorities|happy,0,0
R_6Xak0pwrdTGiSYB,$15K to $25K,Not Hispanic,Slightly liberal,27,fggggg,,,,fydd,,,,Lean R,Republicans,Non-white,1,1,Female,fydd|||,fggggg|||,1,1
R_80bwrFqxwVZAuAR,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,54,followers,uninformed,hard headed,,followers,up & coming,open,,Strong R,Republicans,White,3,3,Female,followers|up & coming|open|,followers|uninformed|hard headed|,0,0
R_bsGSAm6xfiZd1oV,$25K to $50K,Not Hispanic,Extremely Liberal,67,pro-immigrant,liberal,secular,egalitarian,conservative,white,religious,anti immigrant,Strong D,Democrat,White,4,4,Male,conservative|white|religious|anti immigrant,pro-immigrant|liberal|secular|egalitarian,0,0
R_6sbTaNF5rp0zLjn,$75K to $100K,Not Hispanic,Moderate/Haven't thought about it,62,workers,concerned,american,fair,rich,stubborn,american,followers,Strong D,Democrat,White,4,4,Male,rich|stubborn|american|followers,workers|concerned|american|fair,0,0
R_0lfLVxOjGyuADdP,$150K to $200K,Not Hispanic,Extremely conservative,53,liberal,on welfare,want free stuff,lazy,responsible,religious,successful,conservative,Strong R,Republicans,White,4,4,Female,responsible|religious|successful|conservative,liberal|on welfare|want free stuff|lazy,0,0
R_2tMPoy8O6A3LZbv,Prefer not to answer,Not Hispanic,Moderate/Haven't thought about it,40,poor,students,open-minded,generous,rich,corporations,closeminded,greedy,Weak D,Democrat,White,4,4,Male,rich|corporations|closeminded|greedy,poor|students|open-minded|generous,0,0
R_0IXObqrwZ2nLbq5,$25K to $50K,Not Hispanic,Extremely Liberal,62,liberals,women,workers,academics,businessmen,wealthy,militants,conservatives,Strong D,Democrat,White,4,4,Male,businessmen|wealthy|militants|conservatives,liberals|women|workers|academics,0,0
R_6tUAbDGzc7EoJyB,Less than $15K,Not Hispanic,Liberal,49,smart,fair,caring,unselfish,bitter,selfish,unaware,self absorbed,Strong D,Democrat,White,4,4,Male,bitter|selfish|unaware|self absorbed,smart|fair|caring|unselfish,0,0
R_bOscolwbW2rPqOp,$100K to $150K,Hispanic,Extremely Liberal,67,educated,fair,open,thinking,closed,ultra conservative,unthinking,.,Strong D,Democrat,White,4,4,Male,closed|ultra conservative|unthinking|.,educated|fair|open|thinking,0,0
R_bjFEoM9RFcwxSi9,$50K to $75K,Not Hispanic,Moderate/Haven't thought about it,23,wild,uncontrolled,outlaw,,reservation,,,,Weak D,Democrat,Non-white,3,1,Female,reservation|||,wild|uncontrolled|outlaw|,1,0
R_0O5iF1SuZknS4Zv,$25K to $50K,Not Hispanic,Slightly conservative,75,secretive,power conscious,wealthy,active,clueless,hostile,uncooperative,egocentric,Lean D,Democrat,White,4,4,Male,clueless|hostile|uncooperative|egocentric,secretive|power conscious|wealthy|active,0,0
R_9uXJK2uYKjmLwNf,Prefer not to answer,Not Hispanic,Moderate/Haven't thought about it,62,carrying,sharing,open-minded,peaceful,narrow minded,selfish,bigots,egoists,Lean D,Democrat,White,4,4,Male,narrow minded|selfish|bigots|egoists,carrying|sharing|open-minded|peaceful,0,0
R_9S1Oa1u0oiAbKkZ,$15K to $25K,Not Hispanic,,,,,,,,,,,Weak R,Republicans,White,,,Female,|||,|||,1,1
R_1SsVSkkUKduuidT,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,54,don't know,,,,don't know,,,,Weak D,Democrat,White,1,1,Male,don't know|||,don't know|||,1,1
R_0j6UJpMHBRx0bxr,$25K to $50K,Not Hispanic,Slightly liberal,48,liberal,,,,white,farmers,wealthy,male,Weak D,Democrat,White,1,4,Female,white|farmers|wealthy|male,liberal|||,0,1
R_bxEx8TqmDEzFG8R,$75K to $100K,Not Hispanic,Liberal,34,rich,more liberal,,,conservative,anti minority,,,Lean D,Democrat,White,2,2,Female,conservative|anti minority||,rich|more liberal||,0,0
R_e4XxrwHV4M79GcZ,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,35,liberal,mixed race,loud,pushy,conservative,moderate,white,educated,Lean R,Republicans,White,4,4,Female,conservative|moderate|white|educated,liberal|mixed race|loud|pushy,0,0
R_d9XojMxz6sYdkGx,$25K to $50K,Hispanic,,,,,,,,,,,Ind,Independent (excludes leaners),White,,,Female,|||,|||,1,1
R_6rH980pOKpabc2x,$25K to $50K,Not Hispanic,Slightly liberal,29,intelligent,open-minded,concerned,aware,narrow minded,prejudice,trash,uneducated,Strong D,Democrat,White,4,4,Female,narrow minded|prejudice|trash|uneducated,intelligent|open-minded|concerned|aware,0,0
R_08MvvRHu7zKB2OV,$25K to $50K,,Liberal,59,liberal,caring,open,women,nasty,mean,non caring,selfish,Strong D,Democrat,White,4,4,Female,nasty|mean|non caring|selfish,liberal|caring|open|women,0,0
R_3yDao01l9YJmQ17,$15K to $25K,Not Hispanic,Moderate/Haven't thought about it,60,smart,observant,moderate,none,smart,.01,stingy,none,Ind,Independent (excludes leaners),Non-white,4,4,Female,smart|.01|stingy|none,smart|observant|moderate|none,0,0
R_cRXWPsbNv3Zq7XL,$100K to $150K,Not Hispanic,Conservative,56,younger,idealistic,liberal,experimental,conservative,structured,traditional,older,Lean R,Republicans,White,4,4,Male,conservative|structured|traditional|older,younger|idealistic|liberal|experimental,0,0
R_3xjdZTXdRihhF7n,$50K to $75K,Not Hispanic,Conservative,41,dreamers,liberal,unrealistic,lazy,realistic,nonconformists,conservative,responsible,Strong R,Republicans,White,4,4,Female,realistic|nonconformists|conservative|responsible,dreamers|liberal|unrealistic|lazy,0,0
R_6zNtnF44ZnM8OiN,$100K to $150K,Not Hispanic,Slightly conservative,66,big business,blacks,hispanics,right to lifers,constitutionalists,right to lifers,pro-labor,,Lean R,Republicans,White,4,3,Male,constitutionalists|right to lifers|pro-labor|,big business|blacks|hispanics|right to lifers,0,0
R_3E6Y2WRSGKcEF2l,$150K to $200K,Not Hispanic,Slightly conservative,57,blue color,working class,less educated,labor union,conservative,well off,educated,religious,Weak R,Republicans,White,4,4,Male,conservative|well off|educated|religious,blue color|working class|less educated|labor union,0,0
R_cUgqyZKpF3UM5x3,$100K to $150K,Not Hispanic,Slightly conservative,31,uneducated,liberal,leeches,elderly,rich,conservative,faith,down to earth,Lean R,Republicans,White,4,4,Male,rich|conservative|faith|down to earth,uneducated|liberal|leeches|elderly,0,0
R_a33Z2gdui5hMUh7,$100K to $150K,,Conservative,50,liberal,communist,dumb,stupid,smart,rich,conservative,strong,Weak R,Republicans,White,4,4,Male,smart|rich|conservative|strong,liberal|communist|dumb|stupid,0,0
R_bOYts3BV1yLWVRr,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,72,liars,hillary,obama,biden,disorganized,anti people,trump,military,Lean D,Democrat,White,4,4,Female,disorganized|anti people|trump|military,liars|hillary|obama|biden,0,0
R_cTIw82TiJRWuKyN,$75K to $100K,Not Hispanic,Extremely conservative,54,liberal,immoral,mean,progressive,moral,conservative,constitutional,family,Strong R,Republicans,White,4,4,Female,moral|conservative|constitutional|family,liberal|immoral|mean|progressive,0,0
R_9BpaPj7n0nYWN0x,Less than $15K,,,,,,,,,,,,,,,,,Female,|||,|||,1,1
R_4OPSxspY6GSef4h,$50K to $75K,Not Hispanic,,,,,,,,,,,Ind,Independent (excludes leaners),White,,,Female,|||,|||,1,1
R_cx3jF21Iinv2POd,$100K to $150K,Not Hispanic,Moderate/Haven't thought about it,39,,,,,,,,,Ind,Independent (excludes leaners),White,,,Male,|||,|||,1,1
R_0OLMrhg7uvHJ9Rj,$50K to $75K,Not Hispanic,,,,,,,,,,,Lean R,Republicans,White,,,Male,|||,|||,1,1
R_2ou7QuGAaUCLxTT,$75K to $100K,Not Hispanic,Liberal,38,nnn,ooo,uuu,,bbb,nnn,mmm,,Weak R,Republicans,White,3,3,Female,bbb|nnn|mmm|,nnn|ooo|uuu|,0,0
R_2r8Z2w4tsrRUd2l,$200K to $250K,Not Hispanic,Moderate/Haven't thought about it,32,liberal,,,,white,conservative,,,Strong D,Democrat,Non-white,1,2,Female,white|conservative||,liberal|||,0,1
R_aYphnWimRNUA1Jb,$100K to $150K,,Slightly conservative,44,fun,easygoing,working class,,rich,stuck up,conservative,,Weak D,Democrat,White,3,3,Female,rich|stuck up|conservative|,fun|easygoing|working class|,0,0
R_eeBrwA9w7807R0p,$75K to $100K,Not Hispanic,Liberal,47,liberal,southern,open,free,conservative,staunch,wealthy,self important,Weak D,Democrat,White,4,4,Male,conservative|staunch|wealthy|self important,liberal|southern|open|free,0,0
R_0iAf5tRpdwYEwnz,$50K to $75K,Not Hispanic,Moderate/Haven't thought about it,25,liberal,intelligent,fair,honest,conservative,close-minded,crazy,racist,Weak D,Democrat,Non-white,4,4,Female,conservative|close-minded|crazy|racist,liberal|intelligent|fair|honest,0,0
R_3fRFG4YyY228tmd,$150K to $200K,Not Hispanic,Slightly liberal,50,liberal,prochoice,pro-trade,,conservatism,anti immigration,pro-gun,anti abortion,Strong D,Democrat,White,3,4,Female,conservatism|anti immigration|pro-gun|anti abortion,liberal|prochoice|pro-trade|,0,0
R_781XwdGiInuztFH,$75K to $100K,,Liberal,46,negative,,,,best,,,,Strong R,Republicans,Non-white,1,1,Male,best|||,negative|||,1,1
R_9ucTZDSETvVDyrH,$75K to $100K,Not Hispanic,Liberal,43,women,average,liberal,caring,white,men,rich,racist,Strong D,Democrat,Non-white,4,4,Female,white|men|rich|racist,women|average|liberal|caring,0,0
R_37vngndqmTC91E9,$50K to $75K,,Liberal,60,liberal,smart,hardworking,young,rich,white,racist,selfish,Strong D,Democrat,White,4,4,Female,rich|white|racist|selfish,liberal|smart|hardworking|young,0,0
R_3DJaI4dFhmOh63b,$100K to $150K,,,,,,,,,,,,Lean D,Democrat,White,,,Female,|||,|||,1,1
R_24yhNImtSO1RYm9,$15K to $25K,Not Hispanic,Moderate/Haven't thought about it,44,firm,confident,lawful,mighty,confident,campaign,lawful,good,Ind,Independent (excludes leaners),White,4,4,Male,confident|campaign|lawful|good,firm|confident|lawful|mighty,0,0
R_1ZlmykupVW8wJrT,$150K to $200K,Not Hispanic,Conservative,65,union,low income,lazy,not understanding,controlling,money,business,stubborn,Ind,Independent (excludes leaners),White,4,4,Male,controlling|money|business|stubborn,union|low income|lazy|not understanding,0,0
R_01bAqUhtjvw9r3T,Less than $15K,Not Hispanic,Moderate/Haven't thought about it,39,honest,reliable,concerned,caring,concerned,cautious,reliable,caring,Lean D,Democrat,White,4,4,Female,concerned|cautious|reliable|caring,honest|reliable|concerned|caring,0,0
R_cwmMBJ6nf1grNTn,$75K to $100K,Not Hispanic,Extremely conservative,54,liberal,progressive,socialist,wrong,conservative,american,right,freedom,Lean R,Republicans,White,4,4,Male,conservative|american|right|freedom,liberal|progressive|socialist|wrong,0,0
R_0IJ4BdBsOqNlz5b,Less than $15K,Not Hispanic,Moderate/Haven't thought about it,49,i,don't,know,anything,i,don't,fallow,politics,Ind,Independent (excludes leaners),White,4,4,Female,i|don't|fallow|politics,i|don't|know|anything,0,0
R_3EisUZNMJVZcUJv,Prefer not to answer,Not Hispanic,Moderate/Haven't thought about it,68,liberal,minority,blue states,seniors,rigid,men,red states,seniors,Lean D,Democrat,White,4,4,Male,rigid|men|red states|seniors,liberal|minority|blue states|seniors,0,0
R_2cvsJOjN23BfhUF,$100K to $150K,Not Hispanic,,,,,,,,,,,Strong D,Democrat,White,,,Male,|||,|||,1,1
R_5u9skCbFoCloADz,$50K to $75K,Not Hispanic,Conservative,34,sleazy,liar,deceitful,dishonest,money,power,rich,integrity,Weak R,Republicans,White,4,4,Male,money|power|rich|integrity,sleazy|liar|deceitful|dishonest,0,0
R_0GLdPfUeBmUNh2Z,$50K to $75K,Not Hispanic,Slightly liberal,67,liberal,openness,union,middleclass,conservative,evangelical,wealthy,elite,Strong D,Democrat,White,4,4,Female,conservative|evangelical|wealthy|elite,liberal|openness|union|middleclass,0,0
R_bgfw8H0k3qSRwfr,$25K to $50K,Not Hispanic,Moderate/Haven't thought about it,51,loud,untruthful,sneaky,pushy,loud,untruthful,sneaky,pushy,Ind,Independent (excludes leaners),White,4,4,Female,loud|untruthful|sneaky|pushy,loud|untruthful|sneaky|pushy,0,0
R_7U2UiKMx23pbshf,$150K to $200K,Not Hispanic,Extremely conservative,52,marxists,leftists,god haters,distrustful,conservative,patriotic,constitutionalists,traditional,Strong R,Republicans,White,4,4,Female,conservative|patriotic|constitutionalists|traditional,marxists|leftists|god haters|distrustful,0,0
R_6o5Jtpw3TfUkiRn,$150K to $200K,Not Hispanic,Extremely conservative,65,freeloaders,ignorant,socialists,black,conservative,capitalists,independent,patriots,Strong R,Republicans,White,4,4,Male,conservative|capitalists|independent|patriots,freeloaders|ignorant|socialists|black,0,0
